galaxy_id,r_kpc,Vobs_kms,Vbar_kms
DDO154,0.1,2.8922,2.2191
DDO154,0.2706,5.8991,4.8763
DDO154,0.4412,11.7255,7.6011
DDO154,0.6118,15.6286,9.8275
DDO154,0.7824,16.1106,12.7023
DDO154,0.9529,19.6598,13.8693
DDO154,1.1235,23.599,15.2163
DDO154,1.2941,25.3667,16.4752
DDO154,1.4647,27.5722,17.8817
DDO154,1.6353,28.4161,18.691
DDO154,1.8059,31.5664,19.4638
DDO154,1.9765,32.7409,20.1211
DDO154,2.1471,33.1664,21.4047
DDO154,2.3176,35.2013,20.8293
DDO154,2.4882,35.4406,21.2212
DDO154,2.6588,34.9328,21.4818
DDO154,2.8294,36.8486,22.428
DDO154,3.0,36.1906,22.9536
DDO168,0.1,2.1351,2.246
DDO168,0.3786,7.473,6.126
DDO168,0.6571,13.2016,11.2919
DDO168,0.9357,19.9443,15.0027
DDO168,1.2143,24.4047,17.9986
DDO168,1.4929,27.8626,20.6966
DDO168,1.7714,29.5848,23.715
DDO168,2.05,33.216,24.0037
DDO168,2.3286,35.2871,26.3931
DDO168,2.6071,37.2756,26.0
DDO168,2.8857,39.6227,27.7094
DDO168,3.1643,40.2669,28.7937
DDO168,3.4429,41.9877,29.7232
DDO168,3.7214,42.3426,30.3913
DDO168,4.0,43.522,30.96
DDO210,0.1,2.7877,1.1533
DDO210,0.1778,4.7037,1.944
DDO210,0.2556,6.6926,2.5442
DDO210,0.3333,7.6375,2.8921
DDO210,0.4111,8.3012,3.2614
DDO210,0.4889,9.1256,3.4149
DDO210,0.5667,9.8152,3.6221
DDO210,0.6444,10.748,3.7678
DDO210,0.7222,11.0599,3.826
DDO210,0.8,11.5736,4.0507
DDO216,0.1,2.4917,1.0379
DDO216,0.2,5.0221,2.0439
DDO216,0.3,7.1278,2.9128
DDO216,0.4,8.6518,3.3412
DDO216,0.5,9.9238,3.7913
DDO216,0.6,10.6028,4.2454
DDO216,0.7,11.2376,4.3301
DDO216,0.8,11.9551,4.6129
DDO216,0.9,11.9001,4.6111
DDO216,1.0,12.3899,4.7985
IC10,0.1,2.4788,4.2707
IC10,0.2545,7.544,8.3621
IC10,0.4091,12.4468,12.0895
IC10,0.5636,13.9783,15.8651
IC10,0.7182,18.2838,18.3348
IC10,0.8727,20.3621,20.768
IC10,1.0273,21.5618,21.9903
