galaxy,slope_tail,delta_f3,tail_n,outer_fit_ok,env_proxy
CVnIdwA,0.358544,0.42391,4,True,-0.404833
DDO101,0.391855,0.130397,4,True,-0.112153
DDO126,-0.00599,0.187024,5,True,-0.155679
DDO133,0.16582,0.148207,4,True,-0.120872
DDO154,0.242589,0.21089,6,True,-0.187182
DDO168,0.291766,0.148586,5,True,-0.132321
DDO210,0.458916,0.451281,4,True,-0.430054
DDO216,0.244389,0.412866,4,True,-0.395448
DDO43,0.359523,0.154465,5,True,-0.133729
DDO46,0.413382,0.151121,4,True,-0.130403
DDO47,0.2382,0.148109,5,True,-0.136637
DDO52,0.327946,0.169082,4,True,-0.143973
DDO53,0.311293,0.313667,4,True,-0.303486
DDO70,0.384105,0.271787,5,True,-0.251254
DDO75,-0.039615,0.184318,5,True,-0.158363
DDO87,0.253555,0.131679,5,True,-0.113652
IC10,0.352802,0.023919,4,True,-0.012967
NGC1569,0.067228,0.001603,5,True,0.028547
WLM,0.264269,0.20232,5,True,-0.184793
